repo_name,commit_date,commit_sha,commit_status,interval,interval_boundary_timestamp,affected_packages_low_list,affected_packages_low_list_count,affected_packages_medium_list,affected_packages_medium_list_count,affected_packages_high_list,affected_packages_high_list_count,all_packages,all_count,affected_packages,affected_count,ratio
wasi0013/Online-Voting-System,2014-06-16T13:23:22Z,bb4aa771750f429125c388898de909c099f878fc,Commit Affected low,0,2014-06-16 13:23:22+00:00,express:4.4.2,1,,0,,0,express:4.4.2|jade:>= 0.0.1,2,express:4.4.2,1,0.5
wasi0013/Online-Voting-System,2014-06-16T13:23:22Z,bb4aa771750f429125c388898de909c099f878fc,Commit Affected low,20,2014-06-17 02:05:13.200000+00:00,express:4.4.2,1,,0,,0,express:4.4.2|jade:>= 0.0.1,2,express:4.4.2,1,0.5
wasi0013/Online-Voting-System,2014-06-17T07:21:47Z,b41afb2499ffabbc01b4b6e726193817cb856165,Commit Affected low,40,2014-06-17 14:47:04.400000+00:00,express:4.4.2,1,,0,,0,express:4.4.2|jade:>= 0.0.1,2,express:4.4.2,1,0.5
wasi0013/Online-Voting-System,2014-06-17T07:21:47Z,b41afb2499ffabbc01b4b6e726193817cb856165,Commit Affected low,60,2014-06-18 03:28:55.600000+00:00,express:4.4.2,1,,0,,0,express:4.4.2|jade:>= 0.0.1,2,express:4.4.2,1,0.5
wasi0013/Online-Voting-System,2014-06-17T07:21:47Z,b41afb2499ffabbc01b4b6e726193817cb856165,Commit Affected low,80,2014-06-18 16:10:46.800000+00:00,express:4.4.2,1,,0,,0,express:4.4.2|jade:>= 0.0.1,2,express:4.4.2,1,0.5
wasi0013/Online-Voting-System,2014-06-19T04:52:38Z,5ea05ed6d262706c605cc53d0142477914722e61,Commit Affected low,100,2014-06-19 04:52:38+00:00,express:4.4.2,1,,0,,0,express:4.4.2|jade:>= 0.0.1,2,express:4.4.2,1,0.5
